CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
03.251.720/0001-18;2021-01-01;1;4917649.93;265609.62;4652040.31;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3943652.71;1627444.11;0;2316208.6;1096615.95;81878.54;0;0;0;0;0;0;0;4165213.32;5343707.81
03.251.720/0001-18;2021-02-01;1;4708253.03;21320.47;4686932.56;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4149805.87;1788974.62;0;2360831.25;1135938.7;81362.27;0;0;0;0;0;0;0;3979621.82;5196922.79
03.251.720/0001-18;2021-03-01;1;4648521.3;35373.49;4613147.81;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3848093.17;1433291.34;0;2414801.83;1137600.7;71113.67;0;0;0;0;0;0;0;4159190.74;5367905.11
03.251.720/0001-18;2021-04-01;1;3790061;16391.09;3773669.91;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4012445.59;1469748.75;0;2542696.84;1124879.7;72896.34;0;0;0;0;0;0;0;3537910.67;4735686.71
03.251.720/0001-18;2021-05-01;1;3949780.54;36580.57;3913199.97;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3932323.04;1322709.56;0;2609613.48;1126421.7;71293.13;0;0;0;0;0;0;0;3605060.84;4802775.67
03.251.720/0001-18;2021-06-01;1;4154504.56;58038.35;4096466.21;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3835942.78;1291963.69;0;2543979.09;1427963.7;73495.58;0;0;0;0;0;0;0;3651660.54;5153119.82
03.251.720/0001-18;2021-07-01;1;3711500.39;31186.17;3680314.22;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3991437.68;1431699.64;0;2559738.04;1131379.7;71671.04;0;0;0;0;0;0;0;3641045.06;4844095.8
03.251.720/0001-18;2021-08-01;1;3863861.81;39635.89;3824225.92;0;0;333070000;333070000;131742990;201327010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3858895.58;1286290.59;0;2572604.99;1133221.7;70176.63;0;0;0;0;0;0;0;3655382.14;4858780.47
03.507.519/0001-59;2021-01-01;1;3296104.61;2797.14;0;0;3293307.47;494184884.52;494184884.52;0;494184884.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5044278.71;3299025.47;0;1745253.24;2742479.11;84437.22;0;0;0;0;0;0;239544.5;25500;3091960.83
03.507.519/0001-59;2021-02-01;1;2358349.82;3387.1;0;0;2354962.72;494184884.52;494184884.52;0;494184884.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4936262.47;3294224.8;0;1642037.67;1724911.14;83652.45;0;0;0;0;0;0;239544.5;25500;2073608.09
03.507.519/0001-59;2021-03-01;1;1920207.43;3065.17;0;0;1917142.26;494184884.52;494184884.52;0;494184884.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5015372.21;2949084.28;0;2066287.93;1113273.09;81826.11;0;0;0;0;0;0;239544.5;25500;1460143.7
03.507.519/0001-59;2021-04-01;1;790614.63;3740.98;0;0;786873.65;494184465.61;494184465.61;0;494184465.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6638798.28;4500379.12;0;2138419.16;123336.36;82346.94;0;0;0;0;0;0;239544.5;0;445227.8
03.507.519/0001-59;2021-05-01;1;2214103.6;4393.18;0;0;2209710.42;494184465.61;494184465.61;0;494184465.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6120100.26;4593177.64;0;1526922.62;1463026.36;81980.67;0;0;0;0;0;0;239544.5;0;1784551.53
03.507.519/0001-59;2021-06-01;1;2072177.66;5412.21;0;0;2066765.45;494184465.61;494184465.61;0;494184465.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6687463.92;5139926.24;0;1547537.68;1316705.68;83067.36;0;0;0;0;0;0;239544.5;0;1639317.54
03.507.519/0001-59;2021-07-01;1;2328567.03;6329.97;0;0;2322237.06;494184465.61;494184465.61;0;494184465.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7037627.89;5420291.24;0;1617336.65;1504678.86;82443.38;0;0;0;0;0;0;239544.5;0;1826666.74
03.507.519/0001-59;2021-08-01;1;2701211.76;6028.17;0;0;2695183.59;494184465.61;494184465.61;0;494184465.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7206111.71;5612808.56;0;1593303.15;1784315.96;81163.12;0;0;0;0;0;0;239544.5;0;2105023.58
03.683.056/0001-86;2021-01-01;1;68022470.45;3566.13;0;0;68018904.32;663062544.18;565091752.28;0;485525315.96;79566436.32;0;0;0;0;0;0;0;0;0;0;63665642.02;0;0;0;0;34305149.88;34305149.88;0;0;0;0;0;3871581.26;2675399.1;0;1196182.16;217449.96;333464.72;0;3433001.6;0;0;0;0;0;370928.94;4354845.22
03.683.056/0001-86;2021-02-01;1;28634620.64;3680.11;0;0;28630940.53;701491244.5;634742953.66;0;551953740.64;82789213.02;0;0;0;0;0;0;0;0;0;0;63974359.13;0;0;0;0;2773931.71;2773931.71;0;0;0;0;0;3844581.82;2732945.46;0;1111636.36;219606.12;325865.47;0;3433001.6;0;0;0;0;0;424409.52;4402882.71
03.683.056/0001-86;2021-03-01;1;25102815.85;18263.22;0;0;25084552.63;702915512.78;638097634.56;0;551979056.6;86118577.96;0;0;0;0;0;0;0;0;0;0;62043946.51;0;0;0;0;2773931.71;2773931.71;0;0;0;0;0;3425469.29;2728912.85;0;696556.44;223063.49;312153.13;0;3433001.6;0;0;0;0;0;102702.32;4070920.54
03.683.056/0001-86;2021-04-01;1;12086682.98;4839.25;0;0;12081843.73;724941271.49;653850091.6;0;552004372.56;101845719.04;0;0;0;0;0;0;0;0;0;0;68317248.18;0;0;0;0;2773931.71;2773931.71;0;0;0;0;0;6922190.23;3277695.57;0;3644494.66;226610.9;313395.96;0;3433001.6;0;0;0;0;0;13707806.09;17680814.55
03.683.056/0001-86;2021-05-01;1;14563478.43;5118.83;0;0;14558359.6;724462349.55;654556656.15;0;552029688.52;102526967.63;0;0;0;0;0;0;0;0;0;0;67131761.69;0;0;0;0;2773931.71;2773931.71;0;0;0;0;0;4401682.07;3742039.89;0;659642.18;229080.4;280105.75;0;3433001.6;0;0;0;0;0;14607102.71;18549290.46
