CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
07.583.627/0001-61;2021-08-01;1;2021-08-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4011674631.15;3065498562.36;224952;13627.345221914;6.8E-05;0;0.004435;0.004435;0;0
07.789.135/0001-27;2021-01-01;1;2021-01-29;55;;;;;;;;;;;;;;;55;1557260584.43;1499236897.56;451113;3323.41763052716;2.37807647730823E-05;0;0.01129141;0;0.01129141;0
07.789.135/0001-27;2021-02-01;1;2021-02-26;55;;;;;;;;;;;;;;;55;1557260584.43;1499236897.56;451113;3323.41763052716;2.37807647730823E-05;0;0.01129141;0;0.01129141;0
07.789.135/0001-27;2021-03-01;1;2021-03-31;55;;;;;;;;;;;;;;;55;1557260584.43;1499236897.56;451113;3323.41763052716;2.37807647730823E-05;0;0.01129141;0;0.01129141;0
07.789.135/0001-27;2021-04-01;2;2021-04-30;55;;;;;;;;;;;;;;;55;1537220959.28;1501193378.45;451113;3327.75463897072;2.34117606062773E-05;0;0.00600904;0;0.00600904;0
07.789.135/0001-27;2021-05-01;2;2021-05-31;55;;;;;;;;;;;;;;;55;1542597788.47;1502356203.17;451113;3330.33231844349;2.49864911668703E-05;0;0.00895757;0;0.00895757;0
07.789.135/0001-27;2021-06-01;1;2021-06-30;55;;;;;;;;;;;;;;;55;1542597788.47;1502356203.17;451113;3330.33231844349;2.49864911668703E-05;0;0.00895757;0;0.00895757;0
07.789.135/0001-27;2021-07-01;2;2021-07-30;61;;;;;;;;;;;;;;;61;1554052741.2;1519590924.11;451113;3368.53720489101;2.50501101290103E-05;0;0.0050539;0;0.0050539;0
07.789.135/0001-27;2021-08-01;1;2021-08-31;61;;;;;;;;;;;;;;;61;1554052741.2;1519590924.11;451113;3368.53720489101;2.50501101290103E-05;0;0.0050539;0;0.0050539;0
08.014.513/0001-63;2021-01-01;1;2021-01-29;7643;7611;27;1;0;0;2;0;0;0;0;0;1;1;0;0;247994906.74;243818587.53;1144800;212.979199449685;0.000321;0;0.008478;-9E-06;0.008487;0
08.014.513/0001-63;2021-02-01;1;2021-02-28;7680;7643;31;1;0;0;2;0;0;0;0;0;1;2;0;0;248212711.16;243835191.14;1144800;212.993702952481;0.000322;0;0.008469;6.8E-05;0.008401;0
08.014.513/0001-63;2021-03-01;1;2021-03-31;7673;7638;31;1;0;0;2;0;0;0;0;0;1;0;0;0;248190303.91;243850897.79;1144800;213.00742294724;0.000321;0;0.008429;6.4E-05;0.008365;0
08.014.513/0001-63;2021-04-01;1;2021-04-30;7652;7617;32;1;0;0;1;0;0;0;0;0;1;0;0;0;248448583.76;243849251.15;1144800;213.005985;0.000326;0;0.009469;-7E-06;0.009476;0
08.014.513/0001-63;2021-05-01;1;2021-05-31;7631;7596;32;1;0;0;1;0;0;0;0;0;1;0;0;0;249152939.17;243923226.97;1144800;213.070604;0.000346;0;0.011205;0.000303;0.010902;0
08.014.513/0001-63;2021-06-01;1;2021-06-30;7617;7582;32;1;0;0;1;0;0;0;0;0;1;0;0;0;249825768.1;244478758.64;1144800;213.555869;0.000389;0;0.011164;0.002277;0.008887;0
08.014.513/0001-63;2021-07-01;1;2021-07-30;7584;7551;30;1;0;0;1;0;0;0;0;0;1;0;0;0;249152506.9;244467990.68;1144800;213.546463;0.000388;0;0.007053;-4.4E-05;0.007097;0
08.014.513/0001-63;2021-08-01;1;2021-08-31;7597;7564;30;1;0;0;1;0;0;0;0;0;1;0;0;0;249098812.6;244463418.39;1144800;213.542469;0.000325;0;0.008694;-1.9E-05;0.008713;0
08.098.114/0001-28;2021-01-01;1;2021-01-29;11;;;;;;;;;;;;;;;;830079335.38;824909646.98;8518064;96.8423866009929;0.000690619708577384;;0.004948;-0.000625;0.005573;
08.098.114/0001-28;2021-02-01;1;2021-02-26;11;;;;;;;;;;;;;;;;829996665.68;824824878.48;8518064;96.8324349852267;0.000693235224734876;;0.005474;-0.000102;0.005576;
08.098.114/0001-28;2021-03-01;1;2021-03-31;15;6;;;;;1;;;;;;2;6;;;829744030.23;826773844.92;8518064;97.0612389059298;0.000792298624375792;;0.00515;0.002362;0.002788;
08.098.114/0001-28;2021-04-01;1;2021-04-30;25;;;;;;;;;;;;;;;;829939797.39;824684495.66;8518064;96.8159543835313;0.000692068800860909;;0.003036;-0.002527;0.005563;
08.098.114/0001-28;2021-05-01;1;2021-05-31;29;;;;;;;;;;;;;;;;830444283.52;825174359.56;8518064;96.8734632141764;0.000724893815555483;;0.006171;0.000594;0.005577;
08.098.114/0001-28;2021-06-01;2;2021-06-30;35;25;;;;;1;;;;;;2;7;;;834725552;828949804.14;8518064;97.3166912270206;0.000721;;0.010149;0.004575;0.005574;
